Team,Conf,HCA,HCA_Rank,PF,PF_Rank,PTS,PTS_Rank,NST,NST_Rank,Blk,Blk_Rank,Elevation,Elevation_Rank
Kent St.,MAC,3.3,130,-3.8,61,6.5,163,-1,137,0.3,331,1200,42
Charleston,CAA,3.3,131,-3.2,122,6.6,156,-0.9,152,1.8,73,0,307
South Carolina St.,MEAC,3.3,132,-3.5,85,5.3,218,-0.5,244,2,36,300,210
Virginia,ACC,3.3,133,-3.7,69,5.1,237,-1.2,112,1.3,162,500,166
Georgia Tech,ACC,3.3,134,-3.4,99,5,240,-1.3,87,1.3,162,900,68
Washington St.,P12,3.3,135,-1.8,246,8.6,57,-0.6,214,1.6,91,2600,23
Saint Joseph's,A10,3.3,136,-3.7,69,5.8,196,-1.9,22,0.5,314,300,210
Central Arkansas,Slnd,3.3,137,-1.8,246,8.2,72,-0.7,190,2.7,5,300,210
Villanova,BE,3.3,138,-2.5,175,8.7,53,-1.7,34,0.8,292,400,185
UNLV,MWC,3.3,139,-3.1,130,4.5,265,-1.5,65,0.9,254,2000,30
Western Carolina,SC,3.3,140,-2.9,147,5.5,210,-1.1,128,1,237,2100,28
North Dakota St.,Sum,3.3,141,-3,138,8.3,67,-0.7,200,0.7,297,900,68
Richmond,A10,3.2,142,-3.3,109,7.5,106,-1,140,0.8,278,200,232
Oregon St.,P12,3.2,143,-2.9,157,8.8,46,0.5,342,1.8,60,200,232
Milwaukee,Horz,3.2,144,-3.2,119,5.2,231,-1.5,60,1.2,176,600,137
The Citadel,SC,3.2,145,-3.4,100,4.7,256,-1.2,102,1.7,76,0,307
Southern Utah,BSky,3.2,146,-1.9,230,3,320,-0.1,296,1.4,140,5800,4
Wisconsin,B10,3.2,147,-4,49,4.4,268,-0.8,169,0.8,278,900,68
Chicago St.,WAC,3.2,148,-2.8,165,4.2,274,-2.2,9,1.7,84,600,137
North Texas,CUSA,3.2,149,-3.3,107,6.2,181,-0.9,157,1,249,700,113
Miami OH,MAC,3.2,150,-3.4,103,3.5,300,-1.1,128,1.7,81,900,68
SIU Edwardsville,OVC,3.2,151,-1.9,225,7.3,118,-1.1,125,2.2,21,500,166
Eastern Washington,BSky,3.2,152,-1.8,246,7.4,111,-0.3,272,1.9,47,2500,25
Old Dominion,CUSA,3.2,153,-3,146,7,136,-0.7,200,1.6,98,0,307
Florida Gulf Coast,ASun,3.2,154,-2.5,179,10.1,18,-0.1,303,1.2,183,0,307
Montana,BSky,3.2,155,-2.5,175,4.4,269,-0.4,264,1.5,119,3200,19
Louisiana Monroe,SB,3.2,156,-2.9,150,6.5,158,-1.5,60,1.1,218,100,258
Rice,CUSA,3.2,157,-3.3,109,5,241,-1.5,67,1.3,162,0,307
Temple,Amer,3.2,158,-2.2,198,6.5,163,-1.8,27,1.7,84,100,258
Houston,Amer,3.2,159,-2.1,215,8.2,73,-1.1,133,1.7,81,0,307
Winthrop,BSth,3.2,160,-2.9,153,7.2,125,-0.5,244,1.2,190,700,113
Valparaiso,MVC,3.2,161,-3.2,119,5.3,223,-0.2,286,1.6,103,800,91
Miami FL,ACC,3.2,162,-3.6,79,5.8,199,-0.8,179,1,249,0,307
UNC Greensboro,SC,3.2,163,-2.3,196,4.5,265,-1.4,80,2.2,20,900,68
Murray St.,OVC,3.2,164,-3.1,135,6.4,167,-1.4,75,0.6,304,500,166
Detroit,Horz,3.2,165,-3.4,102,5.7,203,-1.4,72,0.4,321,600,137
Bowling Green,MAC,3.1,166,-3.2,123,3.8,291,-1.1,120,1.5,111,700,113
USC,P12,3.1,167,-1.7,254,8.8,46,-1.3,96,1.5,113,200,232
Louisiana,SB,3.1,168,-2.8,165,6.9,140,0,316,1.9,51,0,307
Toledo,MAC,3.1,169,-3.5,97,7,139,-0.6,214,0.3,342,600,137
Holy Cross,Pat,3.1,170,-3.2,113,5.8,197,-0.1,296,1.2,183,700,113
Appalachian St.,SB,3.1,171,-1,307,8.3,66,-0.7,203,1.4,135,3200,19
Green Bay,Horz,3.1,172,-3.6,73,7,137,-0.1,303,0.2,347,600,137
Belmont,OVC,3.1,173,-3.2,113,6.5,166,-0.1,301,0.9,263,600,137
Lamar,Slnd,3.1,174,-3,143,6.8,148,-0.2,293,1.4,135,0,307
Jackson St.,SWAC,3.1,175,-2.2,204,7.3,114,-1.2,102,1.2,176,300,210
Southeast Missouri St.,OVC,3.1,176,-3,142,4.8,255,-1.2,102,1.2,183,500,166
UTSA,CUSA,3.1,177,-1.8,241,9.6,31,-0.5,228,1.3,162,300,210
Butler,BE,3.1,178,-2.5,186,7.3,115,-0.2,292,1.3,156,800,91
Northern Colorado,BSky,3.1,179,-1.7,259,3.7,296,0.4,334,1.6,91,4800,10
Long Beach St.,BW,3.1,180,-2.4,191,8,86,0,315,1.6,101,0,307
Sacramento St.,BSky,3.1,181,-2.9,157,7,137,0.5,339,1.8,73,0,307
East Tennessee St.,SC,3.1,182,-2.4,194,3.9,288,-0.5,238,2,32,1700,33
Providence,BE,3.1,183,-3.1,132,5.3,214,-0.9,157,1.2,198,0,307
